movie,year,rating,reviewer_count
Unforgiven,(1992),8.2,"416,200"
The Sixth Sense,(1999),8.2,"1,000"
Shutter Island,(2010),8.2,"1,335"
A Beautiful Mind,(2001),8.2,"940,706"
Jurassic Park,(1993),8.1,"1,000"
Yôjinbô,(1961),8.1,"124,431"
The Treasure of the Sierra Madre,(1948),8.1,"126,367"
Monty Python and the Holy Grail,(1975),8.1,"546,777"
The Great Escape,(1963),8.1,"247,237"
No Country for Old Men,(2007),8.1,"986,509"
Kill Bill: Vol. 1,(2003),8.1,"1,126"
Rashômon,(1950),8.1,"170,758"
Spider-Man: No Way Home,(2021),8.1,"773,827"
The Thing,(1982),8.1,"431,827"
Finding Nemo,(2003),8.1,"1,053"
The Elephant Man,(1980),8.1,"244,698"
Chinatown,(1974),8.1,"330,914"
Raging Bull,(1980),8.1,"358,523"
V for Vendetta,(2005),8.1,"1,130"
Gone with the Wind,(1939),8.1,"319,070"
"Lock, Stock and Two Smoking Barrels",(1998),8.1,"588,750"
Inside Out,(2015),8.1,"724,225"
Dial M for Murder,(1954),8.1,"178,377"
El secreto de sus ojos,(2009),8.1,"212,074"
Hauru no ugoku shiro,(2004),8.1,"402,794"
"Three Billboards Outside Ebbing, Missouri",(2017),8.1,"517,086"
The Bridge on the River Kwai,(1957),8.1,"223,282"
Trainspotting,(1996),8.1,"694,152"
Prisoners,(2013),8.1,"730,415"
Warrior,(2011),8.1,"477,529"
Fargo,(1996),8.1,"685,471"
Gran Torino,(2008),8.1,"782,411"
Tonari no Totoro,(1988),8.1,"345,863"
Catch Me If You Can,(2002),8.1,"1,000"
Million Dollar Baby,(2004),8.1,"693,434"
Bacheha-Ye aseman,(1997),8.1,"75,718"
Blade Runner,(1982),8.1,"778,697"
The Gold Rush,(1925),8.1,"112,718"
Before Sunrise,(1995),8.1,"314,863"
Klaus,(2019),8.1,"162,538"
12 Years a Slave,(2013),8.1,"708,273"
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,"887,536"
On the Waterfront,(1954),8.1,"156,954"
Ben-Hur,(1959),8.1,"242,193"
Gone Girl,(2014),8.1,"995,449"
The Grand Budapest Hotel,(2014),8.1,"823,630"
Smultronstället,(1957),8.1,"108,776"
The General,(1926),8.1,"92,810"
The Third Man,(1949),8.1,"173,590"
In the Name of the Father,(1993),8.1,"177,858"
The Deer Hunter,(1978),8.1,"343,199"
Barry Lyndon,(1975),8.1,"171,339"
Hacksaw Ridge,(2016),8.1,"537,477"
Le salaire de la peur,(1953),8.1,"62,461"
Salinui chueok,(2003),8.1,"190,371"
Sherlock Jr.,(1924),8.1,"51,317"
Relatos salvajes,(2014),8.1,"202,073"
Mr. Smith Goes to Washington,(1939),8.1,"116,696"
Mad Max: Fury Road,(2015),8.1,"1,015"
